Loop Activity,marker-loop.svg
Parallel Multi-Instance Activity,marker-multi-instance-parallel.svg
Sequential Multi-Instance Activity,marker-multi-instance-sequential.svg
Compensation Activity,marker-compensation.svg
Ad-Hoc Sub-Process,marker-ad-hoc.svg
Message Catch Event,event-message-catch.svg
Message Throw Event,event-message-throw.svg
Timer Event,event-timer-catch.svg
Error Catch Event,event-error-catch.svg
Error Throw Event,event-error-throw.svg
Escalation Catch Event,event-escalation-catch.svg
Escalation Throw Event,event-escalation-throw.svg
Cancel Catch Event,event-cancel-catch.svg
Cancel Throw Event,event-cancel-throw.svg
Compensation Catch Event,event-compensation-catch.svg
Compensation Throw Event,event-compensation-throw.svg
Conditional Event,event-conditional-catch.svg
Link Catch Event,event-link-catch.svg
Link Throw Event,event-link-throw.svg
Signal Catch Event,event-signal-catch.svg
Signal Throw Event,event-signal-throw.svg
Multiple Catch Event,event-multiple-catch.svg
Multiple Throw Event,event-multiple-throw.svg
Parallel Multiple Event,event-parallel-multiple-catch.svg
Terminate Event,event-terminate-throw.svg
Exclusive Gateway,gateway-exclusive.svg
Inclusive Gateway,gateway-inclusive.svg
Parallel Gateway,gateway-parallel.svg
Complex Gateway,gateway-complex.svg
Event-Based Gateway,gateway-event-based.svg
Parallel Event-Based Gateway,gateway-parallel-event-based.svg
Data Object,data-object.svg
Data Store,data-store.svg
Text Annotation,text-annotation.svg
